"dispersal_scale","sigma","divergence_threshold","model","NSP","LDG","Occ","Gamma","PD","MPD","MNTD","MBS","SDBS","MT","SDT","TBS"
464.181818181818,0.00793675889328063,1.21343873517787,"SA_model_33",702,0.659112273062556,0.977426636568849,32.6687032300417,1.57902237437976,3.03992033456043,3.03992033456043,0.754047631380862,0.0228172749732241,1.15484114162797,0.0322274584214531,0.00546775020112948
576.498023715415,0.00110671936758893,1.71936758893281,"SA_model_34",11,0.189234200597561,0.977426636568849,-4.29050494162487,-0.156017777638762,-0.156017777638817,-0.156017777638817,0.535814965854776,0.00414226752935987,0.88213832464573,0.0534751387876682,0.445454545454545
351.865612648221,0.0056600790513834,2.73122529644269,"SA_model_35",35,0.554037299249175,0.975169300225734,1.08502196878106,1.58469199001425,1.26945550083906,1.26945550083906,0.695474072722226,0.0211540856873499,1.04767520124829,0.0417979821322732,-0.0556646461196961
408.02371541502,0.00224505928853755,1.46640316205534,"SA_model_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632.656126482213,0.00679841897233202,2.47826086956522,"SA_model_37",10,0.148457341425434,0.979683972911964,-4.89897948556636,-3.52865466968898e-16,0,0,0.71727236934309,0.0259217787507897,1.05939727750638,0.0688168329585691,-0.321212121212121
520.339920948617,0.00452173913043478,2.98418972332016,"SA_model_38",10,0.151058010761304,0.975169300225734,-4.13600552642791,0.703690185379478,0.703690185379478,0.703690185379478,0.646896589983323,0.0152892277022885,1.00108391636373,0.0712292719044777,0.363636363636364
295.707509881423,0.00907509881422925,1.97233201581028,"SA_model_39",619,0.329230914938178,0.975169300225734,-127.431590151902,-1.69458898675439,-0.956429669638535,-0.956429669638535,0.784917665801795,0.0306359546539851,1.1367014595569,0.0594164545436248,0.389333442977466
323.786561264822,0.00167588932806324,2.60474308300395,"SA_model_40",118,0.567778340390514,0.975169300225734,8.16211726421959,0.454932276195371,0.749179582246979,0.749179582246979,0.556231083059621,0.00595589675027478,0.892021351753009,0.0473362304783697,0.348156955354751
548.418972332016,0.00622924901185771,1.59288537549407,"SA_model_41",11,0.188681218027929,0.975169300225734,-3.59626615805831,0.601268599926117,0.601268599926124,0.601268599926124,0.709592759410672,0.017397278804738,1.05325612039596,0.0620982045212341,-0.055944055944056
660.735177865613,0.00395256916996047,1.08695652173913,"SA_model_42",12,0.187147074205422,0.975169300225734,-4.18129196810874,0.558565172622081,0.558565172622415,0.558565172622415,0.622636892705746,0.0131577139294371,0.984453726744207,0.0505326497570346,0.131868131868132
436.102766798419,0.00850592885375494,2.09881422924901,"SA_model_43",28,0.36954145187154,0.975169300225734,-0.794246698253519,0.920014931474978,0.927787857428987,0.927787857428987,0.77747081221501,0.0318214857815388,1.16287710921279,0.0610596734275034,0.124828113063407
379.944664031621,0.00509090909090909,1.84584980237154,"SA_model_44",67,0.593074020635551,0.975169300225734,5.87092692662254,1.28307516760345,1.1703368240033,1.1703368240033,0.663238080138477,0.0209426637731735,1.01876767654365,0.0368839074094356,-0.419525533024608
604.577075098814,0.00964426877470356,2.85770750988142,"SA_model_45",10,0.131445517474713,0.975169300225734,-4.10464445110435,0.811938193639895,0.811938193640026,0.811938193640026,0.802825714734131,0.0279514157939623,1.16263806263821,0.060704208760805,0.00909090909090909
492.260869565217,0.00281422924901186,2.35177865612648,"SA_model_46",10,0.190815841529776,0.975169300225734,-4.89897948556636,-7.05730933937797e-16,0,0,0.593529650489285,0.0116572113988201,0.939765187566786,0.0515791363814634,0.345454545454545
267.628458498024,0.00736758893280632,1.3399209486166,"SA_model_47",6613,0.235443663351131,0.972911963882618,-646.492779269447,-0.803098950383783,-1.61188646560526,-1.61188646560526,0.738090502028818,0.023880156241969,0.966760059554211,0.0496993658595125,0.141899507813895
253.588932806324,0.00309881422924901,1.5296442687747,"SA_model_48",2168,0.2747337509683,0.975169300225734,-518.692159976454,-0.447186749949797,1.2977108311105,1.2977108311105,0.601525967734126,0.0108817584139875,0.91864521590585,0.0480978592978211,-0.27437560672286
478.221343873518,0.00765217391304348,2.54150197628458,"SA_model_49",11,0.205545968019565,0.975169300225734,-3.94567908724101,0.942261082111496,1.11807511485253,1.11807511485253,0.752325122401513,0.0278156240000698,1.100441558822,0.0677494937216735,-0.381818181818182
590.537549407115,0.00537549407114625,2.03557312252964,"SA_model_50",11,0.0696603115281155,0.975169300225734,-3.62483055088577,0.574584165991916,0.574584165991881,0.574584165991881,0.666879157197792,0.0197585989840865,1.02218864758071,0.0596713299161721,-0.440559440559441
365.905138339921,0.00992885375494071,1.02371541501976,"SA_model_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422.063241106719,0.00423715415019763,2.79446640316206,"SA_model_52",17,0.349361669501803,0.975169300225734,-2.24464058978622,0.824580262747708,0.916310388284454,0.916310388284454,0.640906733311542,0.0126620902701479,0.998628082762645,0.0562114421039611,-0.0361197110423117
646.695652173913,0.0087905138339921,1.78260869565217,"SA_model_53",10,0.181189315291823,0.975169300225734,-4.13600552642791,0.82612707167888,0.826127071678902,0.826127071678902,0.773257148675056,0.0272017670721084,1.14039251289351,0.070043534031949,-0.490909090909091
534.379446640316,0.0019604743083004,1.27667984189723,"SA_model_54",35,0.456518769375771,0.975169300225734,1.56196681882747,0.899926152186119,0.742430737523538,0.742430737523538,0.564554095450507,0.00795873734780402,0.928348459644992,0.0506658274585573,0.319077568134172
309.747035573123,0.00651383399209486,2.28853754940711,"SA_model_55",80,0.47905896254591,0.975169300225734,3.80640013692449,0.693626333510893,0.795448631418005,0.795448631418005,0.706747304035026,0.0206187908989003,1.04858093232837,0.0595743759086283,-0.107657859381997
281.667984189723,0.00480632411067194,1.1501976284585,"SA_model_56",8021,0.449456041997915,0.975169300225734,-478.288140725917,-0.219817527377081,2.41697286380376,2.41697286380376,0.652979101940684,0.0158780896297188,0.938013963552221,0.0394646207278147,-0.146024603903414
506.300395256917,0.0093596837944664,2.16205533596838,"SA_model_57",10,0.154469527268292,0.975169300225734,-4.89897948556636,-1.60393394076772e-16,0,0,0.800100020477673,0.0367097273585078,1.13748732473635,0.0471158510320517,0.0666666666666667
